visible_mean,visible_max,visible_min,visible_mean_distribution,visible_contrast,visible_entropy,visible_second_angular_momentum,IR_mean,IR_max,IR_min,visible_range,visible_norm_range,log_entropy,entropy_x_contrast,IR_range,IR_norm_range
6.0,139.0,33.9648,0.0713,631.9625,0.0302,3.7262,184.0,240.0,224.0313,105.0352,17.505866666666666,-3.499913354601313,19.0852675,15.968700000000013,0.08678641304347832
10.5195,145.0983,76.5501,11.075,204.2667,0.0429,3.3189,-21.7274,31.6394,0.1395,68.5482,6.516298303151291,-3.1488834530481657,8.76304143,31.4999,-1.4497777000469452
4.5,39.3271,7.6466,1.4292,8.5542,0.3477,1.5301,29.9047,40.9373,38.6698,31.6805,7.040111111111113,-1.056415239968321,2.97429534,2.2674999999999983,0.07582420154691398
7.0,120.0,37.2461,0.0545,400.5667,0.0418,3.528,179.0,239.0,221.7539,82.7539,11.821985714285715,-3.1748589394514264,16.74368806,17.246100000000013,0.09634692737430174
3.0,146.0,23.4688,0.0623,691.8958,0.0503,3.4926,186.0,242.0,230.207,122.5312,40.84373333333333,-2.9897502018764435,34.802358739999995,11.793000000000005,0.06340322580645165
2.0,58.0,8.8828,0.0234,109.2417,0.1198,2.6744,228.0,253.0,248.5781,49.1172,24.5586,-2.121931593300788,13.08715566,4.421899999999994,0.01939429824561401
4.07,124.03,37.252,8.225,168.825,0.1545,2.7516,-19.1657,39.0675,21.2126,86.77799999999999,21.32137592137592,-1.8675611826443368,26.0834625,17.854900000000004,-0.9316069853957852
16.324,68.3497,44.8016,1.7542,6.1042,0.206,1.7434,-86.8425,18.2624,-40.5488,23.5481,1.4425447194315115,-1.5798791101925558,1.2574652,58.8112,-0.6772168005296946
22.9884,68.3497,49.7453,3.2,16.7083,0.1346,2.146,-96.4604,-21.7274,-76.0222,18.6044,0.8092951227575647,-2.005447861771509,2.24893718,54.2948,-0.5628713959303506
10.0,175.0,62.5039,0.0871,902.9667,0.0239,3.916,176.0,246.0,218.25,112.4961,11.24961,-3.7338768200446717,21.58090413,27.75,0.15767045454545456
5.0,181.0,27.1992,0.0422,274.2542,0.0514,3.2698,166.0,243.0,229.8906,153.8008,30.760160000000006,-2.9681171065210177,14.096665880000002,13.109399999999996,0.07897228915662646
10.0895,98.6621,67.1261,7.9917,108.3333,0.0567,3.0242,-23.1677,27.9361,-12.9017,31.535999999999998,3.125625650428664,-2.8699810682484306,6.14249811,40.8378,-1.7627041096008669
8.7996,91.5677,54.6353,5.9625,62.2625,0.0797,2.7326,-0.4426,32.5014,10.651,36.9324,4.197054411564163,-2.5294856931859684,4.96232125,21.8504,-49.36827835517396
12.6693,75.2291,45.4137,4.725,42.3583,0.0943,2.5729,-94.3734,14.0712,-63.2246,29.815400000000004,2.3533581176544884,-2.361274089342725,3.99438769,77.2958,-0.8190422301199278
54.3758,132.4143,89.3902,8.65,129.4667,0.0538,3.0893,-16.3644,7.3674,-8.0974,43.0241,0.7912361749160474,-2.9224818118143983,6.96530846,15.4648,-0.9450270098506516
26.0,194.0,115.9531,0.0806,697.8165,0.0261,3.8202,153.0,222.0,173.4766,78.0469,3.0018038461538463,-3.6458199646534895,18.21301065,48.52340000000001,0.31714640522875825
78.8838,136.929,101.9675,3.4958,23.2792,0.1158,2.3279,-109.0203,-49.5581,-79.4907,34.9615,0.4432025333465173,-2.1558907138432417,2.69573136,29.9326,-0.2745598755461139
4.285,135.2091,41.2393,11.7958,282.4125,0.0485,3.36,-1.4611,41.7633,25.647,93.9698,21.929941656942827,-3.0261914810386994,13.69700625,16.116300000000006,-11.030251180617345
5.0,172.0,53.5664,0.0916,936.2833,0.0231,3.9685,170.0,249.0,221.7188,118.4336,23.68672,-3.7679226614543886,21.62814423,27.28120000000001,0.1604776470588236
5.0,110.0,17.9219,0.0271,135.6833,0.0961,2.834,191.0,239.0,232.3164,92.0781,18.41562,-2.34236596300589,13.03916513,6.6836000000000135,0.034992670157068126
69.2096,109.4113,90.5121,4.925,38.7833,0.0878,2.5671,-13.3353,-4.2916,-9.1918,18.899199999999997,0.27307194377658583,-2.4326937783410663,3.40517374,4.900200000000001,-0.36746079953206906
65.9849,80.3887,71.2477,0.8958,2.4042,0.3524,1.2896,-107.3685,-91.9673,-99.3144,9.141000000000004,0.13853169437250046,-1.0429883849201127,0.84724008,7.3471000000000135,-0.06842882223370925
14.0,192.0,97.6016,0.0854,758.9916,0.0238,3.8802,155.0,233.0,186.6211,94.3984,6.742742857142857,-3.738069698304708,18.06400008,46.37889999999999,0.2992187096774193
8.1547,122.7401,55.0351,9.8875,161.9625,0.0472,3.2123,-20.0152,34.6414,7.6173,67.705,8.30257397574405,-3.0533613863906277,7.64463,27.0241,-1.3501788640633117
6.0,160.0,33.9609,0.0662,720.7917,0.0448,3.5435,177.0,247.0,231.5508,126.0391,21.006516666666666,-3.1055471395611978,32.29146816,15.44919999999999,0.08728361581920899
4.285,147.4631,31.0184,8.2042,190.7792,0.161,2.7393,-8.2246,40.1082,29.9133,116.4447,27.174959159859966,-1.826350913997674,30.7154512,10.194899999999997,-1.2395618023976844
50.5061,84.9033,67.6082,1.7542,6.4292,0.2069,1.7663,-104.1394,-81.0565,-92.9749,17.295100000000005,0.3424358641827424,-1.5755196942306398,1.33020148,11.918400000000005,-0.11444659754137247
5.0,94.0,18.4922,0.045,292.7584,0.0496,3.29,208.0,252.0,243.1445,75.5078,15.10156,-3.0037644452512557,14.52081664,8.855500000000006,0.04257451923076926
5.0,36.0,9.3203,0.0089,16.4,0.2231,1.8998,232.0,247.0,243.4844,26.6797,5.33594,-1.5001351775436502,3.65884,3.5156000000000063,0.015153448275862097
5.0,55.0,14.5,0.0186,61.6333,0.1174,2.5266,223.0,245.0,240.9063,40.5,8.1,-2.1421683715881406,7.23574942,4.0937000000000126,0.01835739910313907
94.7925,139.5087,114.963,4.1125,27.9625,0.1011,2.4314,-103.0842,-38.3266,-67.1429,24.54570000000001,0.25894137194398303,-2.291645152955712,2.82700875,28.8163,-0.2795413846156831
47.0664,95.6524,73.306,3.9042,27.3958,0.1066,2.4115,-22.302,-0.1888,-17.1057,22.346400000000006,0.4747845596858906,-2.238671767250393,2.92039228,16.9169,-0.7585373509102322
5.1449,92.6426,37.9675,8.7458,148.4792,0.0596,3.0896,-58.7739,38.0217,-14.815,54.6751,10.62704814476472,-2.820099704910833,8.849360319999997,52.8367,-0.8989823714267728
6.0,64.0,15.7305,0.0249,89.2917,0.0808,2.8185,213.0,237.0,231.6563,48.2695,8.044916666666667,-2.5157783134550877,7.21476936,5.3437000000000126,0.025087793427230103
5.0,232.0,109.8516,0.0878,924.4875,0.0315,3.8488,155.0,240.0,189.0508,122.1484,24.42968,-3.4577677331505496,29.12135625,50.94919999999999,0.3287045161290322
12.0,122.0,47.6953,0.06,383.6125,0.033,3.5835,176.0,235.0,213.3672,74.3047,6.192058333333333,-3.4112477175156566,12.6592125,21.632800000000003,0.12291363636363638
5.7899,143.3784,46.8347,8.2708,136.0458,0.0618,3.0952,-35.1761,39.0675,22.6528,96.5437,16.674502150296203,-2.7838519145184915,8.40763044,16.414700000000003,-0.4666435449069114
